,vintage,country,county,designation,points,price,province,title,variety,winery
11367,2011,Austria,,Innere Bergen,91,27.0,Niederösterreich,Zull 2011 Innere Bergen Riesling (Niederösterreich),Riesling,Zull
11368,2011,Argentina,Patagonia,Río Negro,87,15.0,Other,Denario 2011 Río Negro Malbec (Patagonia),Malbec,Denario
11369,2011,US,Finger Lakes,,86,16.0,New York,Damiani 2011 Pinot Grigio (Finger Lakes),Pinot Grigio,Damiani
11370,2011,US,Columbia Valley (WA),Estate Bottled,88,30.0,Washington,Goose Ridge 2011 Estate Bottled Merlot (Columbia Valley (WA)),Merlot,Goose Ridge
11371,2011,US,Santa Barbara County,Avila Beach Sunset Dry Rosé of,87,18.0,California,Morovino 2011 Avila Beach Sunset Dry Rosé of Pinot Grigio (Santa Barbara County),Pinot Grigio,Morovino
11372,2011,France,Côtes de Bourg,,85,15.0,Bordeaux,Closerie du Bailli 2011 Côtes de Bourg,Bordeaux-style Red Blend,Closerie du Bailli
11373,2011,US,Eola-Amity Hills,Canary Hill Vineyard,92,60.0,Oregon,Ken Wright 2011 Canary Hill Vineyard Pinot Noir (Eola-Amity Hills),Pinot Noir,Ken Wright
11374,2011,Italy,Morellino di Scansano,,91,20.0,Tuscany,Fattoria Le Pupille 2011 Morellino di Scansano,Red Blend,Fattoria Le Pupille
11375,2011,Argentina,Mendoza,,91,27.0,Mendoza Province,Doña Silvina 2011 Malbec (Mendoza),Malbec,Doña Silvina
11376,2011,Italy,Sicilia,Rosé,86,16.0,Sicily & Sardinia,Planeta 2011 Rosé Syrah (Sicilia),Syrah,Planeta
11377,2011,France,Alsace,,87,,Alsace,Domaine Vincent Stoeffler 2011 Gewurztraminer (Alsace),Gewürztraminer,Domaine Vincent Stoeffler
11378,2011,Italy,Brunello di Montalcino,,90,70.0,Tuscany,Sesta di Sopra 2011 Brunello di Montalcino,Sangiovese,Sesta di Sopra
11379,2011,US,Paso Robles,Michael's Estate Reserve,90,50.0,California,Adelaida 2011 Michael's Estate Reserve Zinfandel (Paso Robles),Zinfandel,Adelaida
11380,2011,US,Carneros,Reserve,84,19.0,California,One Hope 2011 Reserve Pinot Noir (Carneros),Pinot Noir,One Hope
11381,2011,Spain,Ribera del Duero,Malleolus de Valderramiro,95,150.0,Northern Spain,Emilio Moro 2011 Malleolus de Valderramiro (Ribera del Duero),Tempranillo,Emilio Moro
11382,2011,France,Côtes de Provence,Le Château,88,,Provence,Château Thuerry 2011 Le Château Rosé (Côtes de Provence),Rosé,Château Thuerry
11383,2011,France,Bordeaux Supérieur,,86,8.0,Bordeaux,Château Moulin de Beauséjour 2011 Bordeaux Supérieur,Bordeaux-style Red Blend,Château Moulin de Beauséjour
11384,2011,US,,Trout Trilogy,88,30.0,Idaho,Sawtooth 2011 Trout Trilogy Petite Sirah,Petite Sirah,Sawtooth
11385,2011,US,Columbia Valley (WA),Parison,86,15.0,Washington,Zero One Vintners 2011 Parison Chardonnay (Columbia Valley (WA)),Chardonnay,Zero One Vintners
11386,2011,US,Umpqua Valley,,88,24.0,Oregon,Delfino 2011 Dolcetto (Umpqua Valley),Dolcetto,Delfino
11387,2011,Australia,Eden Valley,,88,25.0,South Australia,Heggies Vineyard 2011 Chardonnay (Eden Valley),Chardonnay,Heggies Vineyard
11388,2011,France,Bordeaux Blanc,,84,13.0,Bordeaux,Château Briot 2011 Bordeaux Blanc,Bordeaux-style White Blend,Château Briot
11389,2011,Italy,Barolo,,89,35.0,Piedmont,Boroli 2011 Barolo,Nebbiolo,Boroli
11390,2011,US,North Coast,Riverside Crossing,82,20.0,California,Parkers Estate 2011 Riverside Crossing Syrah (North Coast),Syrah,Parkers Estate
11391,2011,US,Yakima Valley,,86,15.0,Washington,Mercer 2011 Pinot Gris (Yakima Valley),Pinot Gris,Mercer
11392,2011,US,Paso Robles,Texas Ranch Vineyard Reserve Rows,87,65.0,California,Cinnabar 2011 Texas Ranch Vineyard Reserve Rows Petit Verdot (Paso Robles),Petit Verdot,Cinnabar
11393,2011,US,Shenandoah Valley (CA),Estate Bottled,90,32.0,California,Easton 2011 Estate Bottled Zinfandel (Shenandoah Valley (CA)),Zinfandel,Easton
11394,2011,US,Virginia,,82,30.0,Virginia,Ankida Ridge 2011 Chardonnay (Virginia),Chardonnay,Ankida Ridge
11395,2011,Argentina,Salta,Premium,87,20.0,Other,Alta Vista 2011 Premium Torrontés (Salta),Torrontés,Alta Vista
11396,2011,New Zealand,,Roaring Meg,90,25.0,Central Otago,Mt. Difficulty 2011 Roaring Meg Pinot Noir (Central Otago),Pinot Noir,Mt. Difficulty
11397,2011,US,Napa Valley,,90,35.0,California,Clos du Val 2011 Merlot (Napa Valley),Merlot,Clos du Val
11398,2011,Israel,,Dry,86,15.0,Galilee,Galil Mountain 2011 Dry Rosé (Galilee),Rosé,Galil Mountain
11399,2011,US,Willamette Valley,Antsy Pants,92,27.0,Oregon,Love & Squalor 2011 Antsy Pants Riesling (Willamette Valley),Riesling,Love & Squalor
11400,2011,US,Napa Valley,Henry Brothers Vineyard,91,90.0,California,Sequoia Grove 2011 Henry Brothers Vineyard Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Sequoia Grove
11401,2011,France,Gevrey-Chambertin,Château de Bligny Premier Cru,91,65.0,Burgundy,Evening Land 2011 Château de Bligny Premier Cru (Gevrey-Chambertin),Pinot Noir,Evening Land
11402,2011,Spain,Calatayud,,88,10.0,Northern Spain,Cruz de Piedra 2011 Garnacha (Calatayud),Garnacha,Cruz de Piedra
11403,2011,US,Red Mountain,,85,25.0,Washington,Liberty Lake 2011 Petit Verdot (Red Mountain),Petit Verdot,Liberty Lake
11404,2011,Italy,Collio,Bratinis,90,22.0,Northeastern Italy,Gradis'ciutta 2011 Bratinis White (Collio),White Blend,Gradis'ciutta
11405,2011,Chile,,,83,10.0,Curicó Valley,San Nicolas 2011 Sauvignon Blanc (Curicó Valley),Sauvignon Blanc,San Nicolas
11406,2011,Italy,Alto Adige,Sanct Valentin,88,40.0,Northeastern Italy,Cantina Produttori San Michele Appiano 2011 Sanct Valentin Pinot Bianco (Alto Adige),Pinot Bianco,Cantina Produttori San Michele Appiano
11407,2011,US,Sonoma County,,87,14.0,California,L de Lyeth 2011 Cabernet Sauvignon (Sonoma County),Cabernet Sauvignon,L de Lyeth
11408,2011,US,Spring Mountain District,,91,48.0,California,Smith-Madrone 2011 Cabernet Sauvignon (Spring Mountain District),Cabernet Sauvignon,Smith-Madrone
11409,2011,Italy,Salento,Le Pitre,86,29.0,Southern Italy,Villa Mottura 2011 Le Pitre Rosato (Salento),Rosato,Villa Mottura
11410,2011,Portugal,,Quinta das Setencostas,87,8.0,Alenquer,Casa Santos Lima 2011 Quinta das Setencostas Red (Alenquer),Portuguese Red,Casa Santos Lima
11411,2011,US,Carneros,Hyde Vineyard,86,40.0,California,Stomping Girl 2011 Hyde Vineyard Chardonnay (Carneros),Chardonnay,Stomping Girl
11412,2011,US,Napa Valley,Cuvée Louis,90,27.0,California,Beaucanon 2011 Cuvée Louis Merlot (Napa Valley),Merlot,Beaucanon
11413,2011,France,Haut-Médoc,,84,18.0,Bordeaux,Château Fonpiqueyre 2011 Haut-Médoc,Bordeaux-style Red Blend,Château Fonpiqueyre
11414,2011,South Africa,,Series C,92,95.0,Paarl,Vilafonté 2011 Series C Red (Paarl),Bordeaux-style Red Blend,Vilafonté
11415,2011,Italy,Chianti Colli Senesi,Riserva,87,25.0,Tuscany,Farnetella 2011 Riserva (Chianti Colli Senesi),Red Blend,Farnetella
11416,2011,Australia,Margaret River,Diana Madeline,90,109.0,Western Australia,Cullen 2011 Diana Madeline Red (Margaret River),Bordeaux-style Red Blend,Cullen
11417,2011,US,Santa Maria Valley,Cork Jumper Blanc de Noirs,92,45.0,California,Riverbench 2011 Cork Jumper Blanc de Noirs Pinot Noir (Santa Maria Valley),Pinot Noir,Riverbench
11418,2011,Australia,Mornington Peninsula,Robinson Vineyard,83,55.0,Victoria,Moorooduc 2011 Robinson Vineyard Pinot Noir (Mornington Peninsula),Pinot Noir,Moorooduc
11419,2011,US,Napa Valley,Blondie,84,19.0,California,Ideology Cellars 2011 Blondie Chardonnay (Napa Valley),Chardonnay,Ideology Cellars
11420,2011,Portugal,,TN,93,35.0,Alentejo,Herdade do Esporão 2011 TN Touriga Nacional (Alentejo),Touriga Nacional,Herdade do Esporão
11421,2011,US,Sonoma County,Tolleson High Corniche,84,20.0,California,Parkers Estate 2011 Tolleson High Corniche Sauvignon Blanc (Sonoma County),Sauvignon Blanc,Parkers Estate
11422,2011,New Zealand,,,85,23.0,Marlborough,Opawa 2011 Pinot Noir (Marlborough),Pinot Noir,Opawa
11423,2011,Argentina,Mendoza,Reserve,88,18.0,Mendoza Province,Ferllen 2011 Reserve Cabernet Sauvignon (Mendoza),Cabernet Sauvignon,Ferllen
11424,2011,US,Happy Canyon of Santa Barbara,Reserve,93,39.0,California,Piocho 2011 Reserve Red (Happy Canyon of Santa Barbara),Bordeaux-style Red Blend,Piocho
11425,2011,Chile,,Reserva,85,12.0,Cachapoal Valley,Rios de Chile 2011 Reserva Carmenère (Cachapoal Valley),Carmenère,Rios de Chile
11426,2011,US,Mendocino County,,87,20.0,California,Edmeades 2011 Zinfandel (Mendocino County),Zinfandel,Edmeades
11427,2011,US,Sonoma County,,85,15.0,California,Buena Vista 2011 Chardonnay (Sonoma County),Chardonnay,Buena Vista
11428,2011,Chile,,Urban,85,13.0,Maule Valley,O. Fournier 2011 Urban Cabernet Sauvignon (Maule Valley),Cabernet Sauvignon,O. Fournier
11429,2011,Italy,Barolo,Cascina Nuova,93,58.0,Piedmont,Elvio Cogno 2011 Cascina Nuova (Barolo),Nebbiolo,Elvio Cogno
11430,2011,US,California,Finvarra,85,55.0,California,Keating 2011 Finvarra Red (California),Red Blend,Keating
11431,2011,US,Santa Cruz Mountains,Estate Grown,93,65.0,California,Kings Mountain 2011 Estate Grown Pinot Noir (Santa Cruz Mountains),Pinot Noir,Kings Mountain
11432,2011,US,Santa Maria Valley,Unbridled,86,24.0,California,Wild Horse 2011 Unbridled Chardonnay (Santa Maria Valley),Chardonnay,Wild Horse
11434,2011,US,Virginia,Meadow Breeze Sweet,83,15.0,Virginia,Stanburn 2011 Meadow Breeze Sweet White (Virginia),White Blend,Stanburn
11435,2011,Austria,,Grosse Reserve,89,28.0,Thermenregion,Gebeshuber 2011 Grosse Reserve White (Thermenregion),Austrian white blend,Gebeshuber
11436,2011,US,Santa Barbara County,Flood Family Vineyards,84,30.0,California,Rancho Sisquoc 2011 Flood Family Vineyards Malbec (Santa Barbara County),Malbec,Rancho Sisquoc
11437,2011,France,Alsace,Rosacker Grand Cru,94,39.0,Alsace,Domaine Jean-Luc Mader 2011 Rosacker Grand Cru Riesling (Alsace),Riesling,Domaine Jean-Luc Mader
11438,2011,Italy,Brunello di Montalcino,,93,55.0,Tuscany,Altesino 2011 Brunello di Montalcino,Sangiovese,Altesino
11439,2011,Spain,Bierzo,Bembibre,92,,Northern Spain,Dominio de Tares 2011 Bembibre Mencía (Bierzo),Mencía,Dominio de Tares
11440,2011,Austria,,Anning,90,57.0,Thermenregion,Loimer 2011 Anning Pinot Noir (Thermenregion),Pinot Noir,Loimer
11441,2011,Italy,Barolo,Monvigliero,92,,Piedmont,Morra Diego 2011 Monvigliero (Barolo),Nebbiolo,Morra Diego
11442,2011,Italy,Rosso di Montalcino,,87,34.0,Tuscany,Il Marroneto 2011 Rosso di Montalcino,Sangiovese,Il Marroneto
11443,2011,US,Santa Maria Valley,Bricco Buon Natale,91,35.0,California,Clendenen 2011 Bricco Buon Natale Nebbiolo (Santa Maria Valley),Nebbiolo,Clendenen
11444,2011,Greece,,Thema,89,21.0,Drama,Pavlidis 2011 Thema White (Drama),White Blend,Pavlidis
11445,2011,US,Livermore Valley,Reserve,85,20.0,California,Concannon 2011 Reserve Grenache (Livermore Valley),Grenache,Concannon
11446,2011,Chile,,Select Terroir,83,10.0,Cachapoal Valley,Santa Ema 2011 Select Terroir Merlot (Cachapoal Valley),Merlot,Santa Ema
11447,2011,Italy,Barbera d'Alba Superiore,Vigna del Cuculo,90,,Piedmont,Cavallotto 2011 Vigna del Cuculo (Barbera d'Alba Superiore),Barbera,Cavallotto
11448,2011,France,Bergerac,,86,15.0,Southwest France,Château Tour des Gendres 2011 Red (Bergerac),Bordeaux-style Red Blend,Château Tour des Gendres
11449,2011,US,Santa Barbara County,White Hawk Vineyard,92,45.0,California,Vie Winery 2011 White Hawk Vineyard Syrah (Santa Barbara County),Syrah,Vie Winery
11450,2011,Italy,Toscana,Ser Gioveto,89,52.0,Tuscany,Rocca delle MacÃ¬e 2011 Ser Gioveto Red (Toscana),Red Blend,Rocca delle MacÃ¬e
11451,2011,US,Columbia Valley (WA),Cold Creek Vineyard,87,28.0,Washington,Chateau Ste. Michelle 2011 Cold Creek Vineyard Merlot (Columbia Valley (WA)),Merlot,Chateau Ste. Michelle
11452,2011,US,Shenandoah Valley (CA),Cooper Ranch,86,25.0,California,Easton 2011 Cooper Ranch Barbera (Shenandoah Valley (CA)),Barbera,Easton
11453,2011,US,Willamette Valley,Stoller Vineyard,86,52.0,Oregon,Adelsheim 2011 Stoller Vineyard Chardonnay (Willamette Valley),Chardonnay,Adelsheim
11454,2011,Spain,Campo de Borja,,85,15.0,Northern Spain,Pagos del Moncayo 2011 Garnacha-Syrah (Campo de Borja),Garnacha-Syrah,Pagos del Moncayo
11455,2011,France,Barsac,,93,,Bordeaux,Château Doisy-Daëne 2011 Barsac,Bordeaux-style White Blend,Château Doisy-Daëne
11456,2011,US,Walla Walla Valley (WA),Seven Hills Vineyard,86,34.0,Washington,Merry Cellars 2011 Seven Hills Vineyard Carmenère (Walla Walla Valley (WA)),Carmenère,Merry Cellars
11457,2011,US,Napa Valley,Unmarked code seven Fagan Creek,87,45.0,California,Passaggio 2011 Unmarked code seven Fagan Creek Pinot Noir (Napa Valley),Pinot Noir,Passaggio
11458,2011,US,Fort Ross-Seaview,Fort Ross Vineyard,90,52.0,California,Fort Ross 2011 Fort Ross Vineyard Pinot Noir (Fort Ross-Seaview),Pinot Noir,Fort Ross
11459,2011,Spain,Ribera del Duero,Estate Grown 12 Meses en Barrica Made with Organic Grapes,92,33.0,Northern Spain,Dominio Basconcillos 2011 Estate Grown 12 Meses en Barrica Made with Organic Grapes (Ribera del Duero),Tempranillo,Dominio Basconcillos
11460,2011,US,Yorkville Highlands,Walsh Ranch,90,,California,Judson Hale Winery 2011 Walsh Ranch Pinot Noir (Yorkville Highlands),Pinot Noir,Judson Hale Winery
11461,2011,US,Russian River Valley,Dolinsek Ranch Old Vine,90,46.0,California,Portalupi 2011 Dolinsek Ranch Old Vine Zinfandel (Russian River Valley),Zinfandel,Portalupi
11462,2011,US,High Valley,,93,30.0,California,High Valley Vineyard 2011 Petite Sirah (High Valley),Petite Sirah,High Valley Vineyard
11463,2011,US,Columbia Valley (WA),The Magician Evergreen Vineyard White Wine,88,18.0,Washington,Sleight of Hand 2011 The Magician Evergreen Vineyard White Wine Riesling (Columbia Valley (WA)),Riesling,Sleight of Hand
11464,2011,France,Bourgogne Hautes Côtes de Beaune,Clos Philippe-le-Hardi,88,28.0,Burgundy,Château Philippe-le-Hardi 2011 Clos Philippe-le-Hardi (Bourgogne Hautes Côtes de Beaune),Chardonnay,Château Philippe-le-Hardi
11465,2011,Portugal,,,95,,Port,Cálem 2011 Port,Port,Cálem
11466,2011,Italy,Sicilia,Tenuta,88,,Sicily & Sardinia,Tenuta Rapitalà 2011 Tenuta Syrah (Sicilia),Syrah,Tenuta Rapitalà
11467,2011,Italy,Greco di Tufo,,88,25.0,Southern Italy,Mastroberardino 2011 Greco di Tufo,Greco,Mastroberardino
11468,2011,US,Lodi,El Matador,85,25.0,California,Ripken 2011 El Matador Graciano (Lodi),Graciano,Ripken
11469,2011,South Africa,,The Left Bank,90,15.0,Western Cape,Neil Ellis 2011 The Left Bank Red (Western Cape),Red Blend,Neil Ellis
11470,2011,US,Willamette Valley,Estate,87,15.0,Oregon,Illahe 2011 Estate Pinot Gris (Willamette Valley),Pinot Gris,Illahe
11471,2011,US,Clarksburg,Dry,87,12.0,California,Dry Creek Vineyard 2011 Dry Chenin Blanc (Clarksburg),Chenin Blanc,Dry Creek Vineyard
11472,2011,Spain,Ribera del Duero,,87,21.0,Northern Spain,Peña Roble 2011 Ribera del Duero,Tempranillo,Peña Roble
11473,2011,US,Finger Lakes,Dry,87,18.0,New York,Glenora 2011 Dry Riesling (Finger Lakes),Riesling,Glenora
11474,2011,Spain,Navarra,Old Vines,86,9.0,Northern Spain,Castillo de Monjardin 2011 Old Vines Garnacha (Navarra),Garnacha,Castillo de Monjardin
11475,2011,France,Coteaux d'Aix-en-Provence,,92,21.0,Provence,Château Vignelaure 2011 Rosé (Coteaux d'Aix-en-Provence),Rosé,Château Vignelaure
11476,2011,France,Meursault,,89,,Burgundy,Domaine Chantal Lescure 2011 Meursault,Chardonnay,Domaine Chantal Lescure
11477,2011,US,Dundee Hills,Wichmann Dundee Estate,92,55.0,Oregon,Trisaetum 2011 Wichmann Dundee Estate Pinot Noir (Dundee Hills),Pinot Noir,Trisaetum
11478,2011,US,Monterey County,,81,20.0,California,State of Art 2011 Red (Monterey County),Red Blend,State of Art
11479,2011,Argentina,Mendoza,Reserva de Familia,87,20.0,Mendoza Province,Los Haroldos 2011 Reserva de Familia Cabernet Sauvignon (Mendoza),Cabernet Sauvignon,Los Haroldos
11480,2011,Italy,Alta Langa,SilvÃ¬ Metodo Classico Riserva Rosé,92,55.0,Piedmont,Colombo 2011 SilvÃ¬ Metodo Classico Riserva Rosé Pinot Nero (Alta Langa),Pinot Nero,Colombo
11481,2011,France,Côtes de Provence,Cuvée Clarendon,90,,Provence,Domaine Gavoty 2011 Cuvée Clarendon Rosé (Côtes de Provence),Rosé,Domaine Gavoty
11482,2011,France,Chablis,Montmains Premier Cru Les Vieilles Vignes,92,,Burgundy,Pascal Bouchard 2011 Montmains Premier Cru Les Vieilles Vignes (Chablis),Chardonnay,Pascal Bouchard
11483,2011,US,Monticello,,84,19.0,Virginia,Trump 2011 Viognier (Monticello),Viognier,Trump
11484,2011,Spain,Rías Baixas,Zios,86,18.0,Galicia,Lusco 2011 Zios Albariño (Rías Baixas),Albariño,Lusco
11485,2011,France,Médoc,,90,,Bordeaux,Château Lousteauneuf 2011 Médoc,Bordeaux-style Red Blend,Château Lousteauneuf
11486,2011,US,Willamette Valley,,85,30.0,Oregon,Samuel Robert 2011 Pinot Noir (Willamette Valley),Pinot Noir,Samuel Robert
11487,2011,France,Bordeaux,,89,15.0,Bordeaux,Château Rauzan Despagne 2011 Bordeaux,Bordeaux-style Red Blend,Château Rauzan Despagne
11488,2011,US,Oakville,,92,125.0,California,Aiken 2011 Cabernet Sauvignon (Oakville),Cabernet Sauvignon,Aiken
11489,2011,Canada,Okanagan Valley,Compendium,90,70.0,British Columbia,Mission Hill 2011 Compendium Red (Okanagan Valley),Bordeaux-style Red Blend,Mission Hill
11490,2011,France,Puligny-Montrachet,,92,62.0,Burgundy,Alex Gambal 2011 Puligny-Montrachet,Chardonnay,Alex Gambal
11491,2011,Spain,Cava,Gran Codorniu,88,20.0,Catalonia,Codorníu 2011 Gran Codorniu Pinot Noir (Cava),Pinot Noir,Codorníu
11492,2011,Portugal,,Vila Santa Reserva,89,22.0,Alentejano,J. Portugal Ramos 2011 Vila Santa Reserva Red (Alentejano),Portuguese Red,J. Portugal Ramos
11493,2011,Spain,La Mancha,,82,12.0,Central Spain,Finca Antigua 2011 Viura (La Mancha),Viura,Finca Antigua
11494,2011,Spain,Vino de la Tierra de Castilla,,83,10.0,Central Spain,Casa Solar 2011 Tempranillo (Vino de la Tierra de Castilla),Tempranillo,Casa Solar
11495,2011,Italy,Barolo,Ravera,93,80.0,Piedmont,Cagliero 2011 Ravera (Barolo),Nebbiolo,Cagliero
11496,2011,France,Alsace,,86,,Alsace,Dopff Au Moulin 2011 Riesling (Alsace),Riesling,Dopff Au Moulin
11497,2011,US,Napa Valley,,85,37.0,California,Frank Family 2011 Zinfandel (Napa Valley),Zinfandel,Frank Family
11498,2011,Italy,Chianti Classico,Gran Selezione,92,40.0,Tuscany,Tenuta di Lilliano 2011 Gran Selezione (Chianti Classico),Red Blend,Tenuta di Lilliano
11499,2011,Spain,Rías Baixas,Peitán,89,15.0,Galicia,Nora 2011 Peitán Albariño (Rías Baixas),Albariño,Nora
11500,2011,Brazil,,Aurora Cellars Reserva,82,15.0,Serra Gaúcha,Vinícola Aurora 2011 Aurora Cellars Reserva Tannat (Serra Gaúcha),Tannat,Vinícola Aurora
11501,2011,France,Saint-Estèphe,,91,,Bordeaux,Château Meyney 2011 Saint-Estèphe,Bordeaux-style Red Blend,Château Meyney
11502,2011,US,Finger Lakes,Sunrise Hill Vineyard,84,26.0,New York,Damiani 2011 Sunrise Hill Vineyard Pinot Noir (Finger Lakes),Pinot Noir,Damiani
11503,2011,Italy,Brunello di Montalcino,,92,79.0,Tuscany,Castelgiocondo 2011 Brunello di Montalcino,Sangiovese,Castelgiocondo
11504,2011,Italy,Morellino di Scansano,Belguardo Bronzone,89,20.0,Tuscany,Mazzei 2011 Belguardo Bronzone (Morellino di Scansano),Sangiovese,Mazzei
11505,2011,Italy,Lugana,Vigne di Catullo,90,25.0,Lombardy,Tenuta Roveglia 2011 Vigne di Catullo (Lugana),Turbiana,Tenuta Roveglia
11506,2011,Italy,Brunello di Montalcino,,90,,Tuscany,Voliero 2011 Brunello di Montalcino,Sangiovese,Voliero
11507,2011,US,,Sauvage,87,27.0,America,Gruet 2011 Sauvage Sparkling (America),Sparkling Blend,Gruet
11508,2011,New Zealand,,,86,23.0,Wairau Valley,Wither Hills 2011 Pinot Noir (Wairau Valley),Pinot Noir,Wither Hills
11509,2011,Italy,Barolo,Monvigliero,88,65.0,Piedmont,Sordo 2011 Monvigliero (Barolo),Nebbiolo,Sordo
11510,2011,Italy,Moscato d'Asti,Bosc Dla Rei,87,,Piedmont,Beni di Batasiolo 2011 Bosc Dla Rei (Moscato d'Asti),Moscato,Beni di Batasiolo
11511,2011,US,"The Hamptons, Long Island",Rosato Refosco Home Farm Vineyard,88,20.0,New York,"Channing Daughters 2011 Rosato Refosco Home Farm Vineyard Rosé (The Hamptons, Long Island)",Rosé,Channing Daughters
11512,2011,Italy,Chianti Classico,,87,14.0,Tuscany,La Castellina 2011 Chianti Classico,Red Blend,La Castellina
11513,2011,Chile,,La Palma Reserva,86,13.0,Cachapoal Valley,Viña La Rosa 2011 La Palma Reserva Carmenère (Cachapoal Valley),Carmenère,Viña La Rosa
11514,2011,Chile,,Reserve,84,10.0,Curicó Valley,V Norte 2011 Reserve Cabernet Sauvignon (Curicó Valley),Cabernet Sauvignon,V Norte
11515,2011,US,Santa Barbara County,,84,16.0,California,Santa Barbara Winery 2011 Chardonnay (Santa Barbara County),Chardonnay,Santa Barbara Winery
11516,2011,US,Walla Walla Valley (WA),Les Collines Vineyard,93,34.0,Washington,Burnt Bridge 2011 Les Collines Vineyard Syrah (Walla Walla Valley (WA)),Syrah,Burnt Bridge
11517,2011,Italy,Barolo,Sarmassa,93,67.0,Piedmont,Brezza 2011 Sarmassa (Barolo),Nebbiolo,Brezza
11518,2011,US,Santa Cruz Mountains,Razorback Vineyard Estate Grown,89,65.0,California,Thomas Fogarty 2011 Razorback Vineyard Estate Grown Pinot Noir (Santa Cruz Mountains),Pinot Noir,Thomas Fogarty
11519,2011,US,Finger Lakes,,84,16.0,New York,Silver Thread 2011 Chardonnay (Finger Lakes),Chardonnay,Silver Thread
11521,2011,US,Walla Walla Valley (WA),,91,30.0,Washington,Seven Hills 2011 Malbec (Walla Walla Valley (WA)),Malbec,Seven Hills
11523,2011,US,Dry Creek Valley,Beeson Ranch,88,38.0,California,Dry Creek Vineyard 2011 Beeson Ranch Zinfandel (Dry Creek Valley),Zinfandel,Dry Creek Vineyard
11524,2011,Italy,Etna,Tenuta S. Michele Rosso,87,30.0,Sicily & Sardinia,Murgo 2011 Tenuta S. Michele Rosso (Etna),Nerello Mascalese,Murgo
11525,2011,US,Livermore Valley,Vintner Select,85,40.0,California,Longevity 2011 Vintner Select Cabernet Sauvignon (Livermore Valley),Cabernet Sauvignon,Longevity
11526,2011,France,Alsace,Bouquet de Printemps,86,14.0,Alsace,Jean-Marc Bernhard 2011 Bouquet de Printemps Pinot Blanc (Alsace),Pinot Blanc,Jean-Marc Bernhard
11527,2011,US,Sonoma Valley,Los Chamizal,82,28.0,California,Haywood 2011 Los Chamizal Zinfandel (Sonoma Valley),Zinfandel,Haywood
11528,2011,US,Napa Valley,Stagecoach Vineyard Block I4,92,54.0,California,Venge 2011 Stagecoach Vineyard Block I4 Syrah (Napa Valley),Syrah,Venge
11529,2011,Canada,Niagara-On-The-Lake,Icewine,88,50.0,Ontario,Pillitteri 2011 Icewine Vidal (Niagara-On-The-Lake),Vidal,Pillitteri
11530,2011,US,Mendocino County,,88,15.0,California,Saint Gregory 2011 Pinot Blanc (Mendocino County),Pinot Blanc,Saint Gregory
11531,2011,US,Columbia Valley (WA),,91,65.0,Washington,Corliss Estates 2011 Syrah (Columbia Valley (WA)),Syrah,Corliss Estates
11532,2011,Spain,Ribera del Duero,,92,45.0,Northern Spain,Dominio de Atauta 2011 Ribera del Duero,Tinto Fino,Dominio de Atauta
11533,2011,Italy,Barbaresco,Ovello Riserva,93,58.0,Piedmont,Produttori del Barbaresco 2011 Ovello Riserva (Barbaresco),Nebbiolo,Produttori del Barbaresco
11534,2011,US,Long Island,Fatalis Fatum,88,35.0,New York,Wölffer 2011 Fatalis Fatum Red (Long Island),Bordeaux-style Red Blend,Wölffer
11535,2011,Austria,,Altes Kreuz,87,28.0,Niederösterreich,Dürnberg 2011 Altes Kreuz Traminer (Niederösterreich),Traminer,Dürnberg
11536,2011,Italy,Amarone della Valpolicella Classico,Costasera Riserva,93,77.0,Veneto,Masi 2011 Costasera Riserva (Amarone della Valpolicella Classico),Red Blend,Masi
11537,2011,US,Columbia Valley (WA),Buxom Blonde,84,15.0,Washington,Calendar Girl 2011 Buxom Blonde White (Columbia Valley (WA)),White Blend,Calendar Girl
11538,2011,Spain,Bierzo,Capricho Val de Paxariñas,84,26.0,Northern Spain,Gancedo 2011 Capricho Val de Paxariñas Godello (Bierzo),Godello,Gancedo
11539,2011,US,Central Coast,Dry,87,18.0,California,Claiborne & Churchill 2011 Dry Gewurztraminer (Central Coast),Gewürztraminer,Claiborne & Churchill
11540,2011,Spain,Rioja,Cincuenta,88,17.0,Northern Spain,Heredad Ugarte 2011 Cincuenta (Rioja),Tempranillo,Heredad Ugarte
11541,2011,Austria,,L & T,86,15.0,Niederösterreich,Dürnberg 2011 L & T Grüner Veltliner (Niederösterreich),Grüner Veltliner,Dürnberg
11542,2011,Chile,,Reserve,85,12.0,Maipo Valley,Tres Palacios 2011 Reserve Chardonnay (Maipo Valley),Chardonnay,Tres Palacios
11543,2011,France,Côte de Beaune,La Grande Châtelaine,87,,Burgundy,Domaine Poulleau Père et Fils 2011 La Grande Châtelaine (Côte de Beaune),Pinot Noir,Domaine Poulleau Père et Fils
11544,2011,Hungary,,,89,30.0,Villány,Bock 2011 Cabernet Franc (Villány),Cabernet Franc,Bock
11545,2011,Spain,Bierzo,Legado de Farro Roble,89,22.0,Northern Spain,Vinos de Arganza 2011 Legado de Farro Roble Mencía (Bierzo),Mencía,Vinos de Arganza
11546,2011,France,Côtes de Gascogne,Colombelle L'Original Blanc,86,9.0,Southwest France,Producteurs Plaimont 2011 Colombelle L'Original Blanc White (Côtes de Gascogne),White Blend,Producteurs Plaimont
